sweep,log_basename,label,num_points,peak_compute_gflops,peak_bandwidth_gbs,roofline_pivot_ai,alpha,error
hbm,hbm_bf16_mfma.log,bf16_mfma,62,2247292.75,3255.591217,690.28714,0.333886611,
hbm,hbm_fp16_add.log,fp16_add,51,70990.14844,2848.470214,24.92220143,0.59350661,
hbm,hbm_fp16_mfma.log,fp16_mfma,62,1903212,4592.691608,414.4001301,0.34125943,
hbm,hbm_fp16_mul.log,fp16_mul,51,70769.74219,2787.606202,25.38728108,0.63259392,
hbm,hbm_fp16_muladd.log,fp16_muladd,51,35649.37891,2684.600586,13.27921147,0.78220897,
hbm,hbm_fp16_rsqrt.log,fp16_rsqrt,51,17880.76562,2793.417236,6.401036478,0.865400435,
hbm,hbm_fp32_add.log,fp32_add,51,62129.87891,4666.713868,13.31341082,0.638330582,
hbm,hbm_fp32_mfma.log,fp32_mfma,62,140925.1562,2871.980934,49.06897347,0.674647635,
hbm,hbm_fp32_mul.log,fp32_mul,51,66722.60156,4458.509276,14.96522659,0.398430835,
hbm,hbm_fp32_muladd.log,fp32_muladd,51,103713.5234,4614.106446,22.47748825,0.736939825,
hbm,hbm_fp32_rsqrt.log,fp32_rsqrt,51,17883.07422,4562.275392,3.919770878,0.79349241,
hbm,hbm_fp4_mfma.log,fp4_mfma,62,9041222,4651.568739,1943.693087,0.346826417,
hbm,hbm_fp64_add.log,fp64_add,51,32804.23828,6057.265625,5.415684289,0.638062145,
hbm,hbm_fp64_mfma.log,fp64_mfma,62,70992.46094,2881.9979,24.63307171,0.776060426,
hbm,hbm_fp64_mul.log,fp64_mul,51,35516.63281,5739.588864,6.188009917,0.053803112,
hbm,hbm_fp64_muladd.log,fp64_muladd,51,56883.60547,6022.22998,9.445604977,0.642217403,
hbm,hbm_fp64_rsqrt.log,fp64_rsqrt,51,8900.337891,6083.547364,1.463017769,0.772877048,
hbm,hbm_fp8_mfma.log,fp8_mfma,62,4537550,3060.445869,1482.643443,0.85644816,
hbm,hbm_int32_mul.log,int32_mul,51,35649.65234,4525.714356,7.877132656,0.554524129,
hbm,hbm_int32_muladd.log,int32_muladd,51,57748.14844,4242.735352,13.61106542,0.692926234,
hbm,hbm_int8_leftshift.log,int8_leftshift,51,35752.53516,1821.584106,19.62716684,0.837691855,
hbm,hbm_int8_mfma.log,int8_mfma,62,3977753.25,4603.52229,864.0673378,0.356871006,
lds,lds_bf16_mfma.log,bf16_mfma,36,2243263.5,71237.04746,31.49012459,0.571487025,
lds,lds_fp16_add.log,fp16_add,36,62856.52344,78094.68075,0.804875861,0.611391352,
lds,lds_fp16_mfma.log,fp16_mfma,36,2245063.5,71773.34157,31.2799077,0.566049968,
lds,lds_fp16_mul.log,fp16_mul,36,62873.70703,77752.54825,0.808638539,0.615986345,
lds,lds_fp16_muladd.log,fp16_muladd,36,35575.55469,70575.01692,0.504081419,0.644003278,
lds,lds_fp16_rsqrt.log,fp16_rsqrt,36,17883.84766,73603.54,0.242975374,0.632297002,
lds,lds_fp32_add.log,fp32_add,36,48689.39844,78297.80575,0.621848824,0.774272887,
lds,lds_fp32_mfma.log,fp32_mfma,36,117064.5469,71737.69122,1.631841573,0.734503848,
lds,lds_fp32_mul.log,fp32_mul,36,52633.08594,77887.7335,0.675755778,0.745397298,
lds,lds_fp32_muladd.log,fp32_muladd,36,88608.60938,78087.69225,1.134732079,0.75674269,
lds,lds_fp32_rsqrt.log,fp32_rsqrt,36,17862.61914,74079.0894,0.241129032,0.531591909,
lds,lds_fp4_mfma.log,fp4_mfma,36,8966767,70756.82199,126.7265367,0.576775424,
lds,lds_fp64_add.log,fp64_add,36,24192.69727,78238.327,0.309217978,0.659637015,
lds,lds_fp64_mfma.log,fp64_mfma,36,69527.57031,77431.35825,0.897925232,0.41926374,
lds,lds_fp64_mul.log,fp64_mul,36,25888.78516,78359.1155,0.330386388,0.643200278,
lds,lds_fp64_muladd.log,fp64_muladd,36,42914.47656,78276.8555,0.548239659,0.622105832,
lds,lds_fp64_rsqrt.log,fp64_rsqrt,36,8908.392578,77838.06367,0.114447767,0.290480161,
lds,lds_fp8_mfma.log,fp8_mfma,36,4515122.5,70977.2089,63.61369474,0.904882167,
lds,lds_int32_mul.log,int32_mul,36,32737.00391,78359.68775,0.417778642,0.732327491,
lds,lds_int32_muladd.log,int32_muladd,36,54204.49219,78351.69975,0.691810036,0.642303961,
lds,lds_int8_leftshift.log,int8_leftshift,36,35747.13672,69489.84938,0.514422423,0.740576214,
lds,lds_int8_mfma.log,int8_mfma,36,4492547,70552.99014,63.67620977,0.582080356,
