sweep,log_basename,label,num_points,peak_compute_gflops,peak_bandwidth_gbs,roofline_pivot_ai,alpha,error
hbm,hbm_bf16_mfma.log,bf16_mfma,62,2472522,3392.918082,728.7302376,0.35271607,
hbm,hbm_fp16_add.log,fp16_add,51,77112.96094,2876.582764,26.80714141,0.72501738,
hbm,hbm_fp16_mfma.log,fp16_mfma,62,2472260.75,3393.542084,728.5192547,0.352803485,
hbm,hbm_fp16_mul.log,fp16_mul,51,76980.07031,2827.865722,27.22196804,0.741144012,
hbm,hbm_fp16_muladd.log,fp16_muladd,51,38800.92188,2720.646973,14.26165256,0.793138254,
hbm,hbm_fp16_rsqrt.log,fp16_rsqrt,51,19464.09766,2828.9375,6.880356196,0.868896188,
hbm,hbm_fp32_add.log,fp32_add,51,75732.17188,4726.529296,16.02278694,0.646081481,
hbm,hbm_fp32_mfma.log,fp32_mfma,62,154791.8438,3010.401686,51.41899983,0.682806539,
hbm,hbm_fp32_mul.log,fp32_mul,51,76373.61719,4668.509764,16.35931401,0.585206749,
hbm,hbm_fp32_muladd.log,fp32_muladd,51,125724.6484,4693.92871,26.78452448,0.745957111,
hbm,hbm_fp32_rsqrt.log,fp32_rsqrt,51,19492.33203,4633.757324,4.206593196,0.804505929,
hbm,hbm_fp4_mfma.log,fp4_mfma,62,9828004,4728.590193,2078.421601,0.390325456,
hbm,hbm_fp64_add.log,fp64_add,51,38209.57812,6090.411133,6.273727223,0.729775862,
hbm,hbm_fp64_mfma.log,fp64_mfma,62,77954.25781,3021.273798,25.80178528,0.777869373,
hbm,hbm_fp64_mul.log,fp64_mul,51,38566.33594,6042.373046,6.382647288,0.444043291,
hbm,hbm_fp64_muladd.log,fp64_muladd,51,67211.99219,6076.539551,11.06089932,0.760827548,
hbm,hbm_fp64_rsqrt.log,fp64_rsqrt,51,9694.556641,6086.5625,1.592780267,0.804188588,
hbm,hbm_fp8_mfma.log,fp8_mfma,62,4977721.5,3217.126991,1547.256765,0.904014809,
hbm,hbm_int32_mul.log,int32_mul,51,38740.58984,4651.754884,8.32816664,0.712256523,
hbm,hbm_int32_muladd.log,int32_muladd,51,70889.625,4307.582032,16.45694138,0.674835366,
hbm,hbm_int8_leftshift.log,int8_leftshift,51,38927.25391,1841.31189,21.14104303,0.848152941,
hbm,hbm_int8_mfma.log,int8_mfma,62,4729094,4677.559878,1011.017309,0.378357261,
lds,lds_bf16_mfma.log,bf16_mfma,36,2469204.25,78809.97139,31.33111466,0.57165878,
lds,lds_fp16_add.log,fp16_add,36,69557.67188,85683.85325,0.811794396,0.605028063,
lds,lds_fp16_mfma.log,fp16_mfma,36,2470162.25,78833.30429,31.33399358,0.569319258,
lds,lds_fp16_mul.log,fp16_mul,36,76633.69531,80237.7198,0.955083164,0.614866716,
lds,lds_fp16_muladd.log,fp16_muladd,36,38769.25781,77071.96515,0.50302672,0.633461609,
lds,lds_fp16_rsqrt.log,fp16_rsqrt,36,19443.43359,80573.944,0.241311678,0.618296979,
lds,lds_fp32_add.log,fp32_add,36,58941.29297,85659.42375,0.688088834,0.73393164,
lds,lds_fp32_mfma.log,fp32_mfma,36,128282.6484,79302.25289,1.617641918,0.727777036,
lds,lds_fp32_mul.log,fp32_mul,36,58984.17969,86027.153,0.685646074,0.735494867,
lds,lds_fp32_muladd.log,fp32_muladd,36,111458.9766,85666.79375,1.301075617,0.824662738,
lds,lds_fp32_rsqrt.log,fp32_rsqrt,36,19442.07422,80540.0024,0.241396494,0.523046758,
lds,lds_fp4_mfma.log,fp4_mfma,36,9871739,77473.90718,127.4201774,0.581670808,
lds,lds_fp64_add.log,fp64_add,36,28580.44336,85667.4575,0.333620773,0.657711266,
lds,lds_fp64_mfma.log,fp64_mfma,36,76237.48438,85136.3145,0.895475507,0.416438482,
lds,lds_fp64_mul.log,fp64_mul,36,28635.15039,86129.158,0.332467553,0.653727228,
lds,lds_fp64_muladd.log,fp64_muladd,36,53024.35547,85714.3935,0.618616703,0.674407735,
lds,lds_fp64_rsqrt.log,fp64_rsqrt,36,9696.993164,85060.374,0.114001299,0.287319175,
lds,lds_fp8_mfma.log,fp8_mfma,36,4966301.5,77515.89937,64.06816589,0.911060757,
lds,lds_int32_mul.log,int32_mul,36,36177.60156,86124.4125,0.4200621,0.738590439,
lds,lds_int32_muladd.log,int32_muladd,36,69098.21094,86029.31225,0.803193808,0.668147422,
lds,lds_int8_leftshift.log,int8_leftshift,36,38928.03516,75177.894,0.51781226,0.738720948,
lds,lds_int8_mfma.log,int8_mfma,36,4942660.5,77488.74583,63.78552714,0.582791314,
