sweep,log_basename,label,num_points,peak_compute_gflops,peak_bandwidth_gbs,roofline_pivot_ai,alpha,error
hbm,hbm_bf16_mfma.log,bf16_mfma,62,1190158.25,3701.785839,321.5092125,0.530149531,
hbm,hbm_fp16_add.log,fp16_add,51,71094.90625,3173.519042,22.40254598,0.486105007,
hbm,hbm_fp16_mfma.log,fp16_mfma,62,1189193.25,3700.322325,321.3755845,0.529055824,
hbm,hbm_fp16_mul.log,fp16_mul,51,72024.55469,3117.726318,23.10162835,0.743310695,
hbm,hbm_fp16_muladd.log,fp16_muladd,51,38811.14062,3037.466309,12.77747197,0.715604293,
hbm,hbm_fp16_rsqrt.log,fp16_rsqrt,51,9983.275391,3109.091308,3.210994597,0.861586543,
hbm,hbm_fp32_add.log,fp32_add,51,59063.47656,3803.811035,15.52744761,0.381699908,
hbm,hbm_fp32_mfma.log,fp32_mfma,62,154371.4531,3797.545644,40.65032197,0.676744837,
hbm,hbm_fp32_mul.log,fp32_mul,51,69334.72656,3871.354688,17.90968076,0.714651291,
hbm,hbm_fp32_muladd.log,fp32_muladd,51,107453.8594,3652.684326,29.41777876,0.410786865,
hbm,hbm_fp32_rsqrt.log,fp32_rsqrt,51,9995.326172,3849.71167,2.596383062,0.881609321,
hbm,hbm_fp64_add.log,fp64_add,51,43650.31641,2770.931055,15.75294208,0.700404228,
hbm,hbm_fp64_mfma.log,fp64_mfma,62,153383.9688,3823.550289,40.11558817,0.742865963,
hbm,hbm_fp64_mul.log,fp64_mul,51,58735.89844,2964.487847,19.81316891,0.633990494,
hbm,hbm_fp64_muladd.log,fp64_muladd,51,57754.26562,2717.83941,21.25006555,0.640830138,
hbm,hbm_fp64_rsqrt.log,fp64_rsqrt,51,9780.03418,2937.194247,3.329719915,0.907330063,
hbm,hbm_fp8_mfma.log,fp8_mfma,62,2319123.25,3715.494308,624.1762354,0.567051107,
hbm,hbm_int32_mul.log,int32_mul,51,58113.84375,3991.463867,14.55953146,0.691279026,
hbm,hbm_int32_muladd.log,int32_muladd,51,59544.71484,3763.391601,15.82208846,0.302230228,
hbm,hbm_int8_leftshift.log,int8_leftshift,51,39625.02734,2140.190674,18.51471826,0.827983381,
hbm,hbm_int8_mfma.log,int8_mfma,62,2460244.5,3466.13635,709.794495,0.296109411,
lds,lds_bf16_mfma.log,bf16_mfma,39,1214901.625,80063.27604,15.17426822,0.131623694,
lds,lds_fp16_add.log,fp16_add,39,72708.13281,87499.19125,0.83095777,0.451775694,
lds,lds_fp16_mfma.log,fp16_mfma,39,1212556,80088.60561,15.14018119,0.135093982,
lds,lds_fp16_mul.log,fp16_mul,36,71376.67188,81667.9688,0.873986129,0.49464358,
lds,lds_fp16_muladd.log,fp16_muladd,36,38677.92969,78024.26385,0.495716688,0.535513014,
lds,lds_fp16_rsqrt.log,fp16_rsqrt,36,9989.188477,81482.5806,0.122592932,0.612002624,
lds,lds_fp32_add.log,fp32_add,39,59758.83594,87511.50525,0.682868336,0.479267346,
lds,lds_fp32_mfma.log,fp32_mfma,39,134327.3594,80570.794,1.667196669,0.669784224,
lds,lds_fp32_mul.log,fp32_mul,39,69705.1875,87435.379,0.797219481,0.437467183,
lds,lds_fp32_muladd.log,fp32_muladd,39,107135.2969,87498.0315,1.224430939,0.580517521,
lds,lds_fp32_rsqrt.log,fp32_rsqrt,36,9965.892578,82181.0242,0.121267564,0.519129289,
lds,lds_fp64_add.log,fp64_add,39,40632.22656,87482.3455,0.464462016,0.120297131,
lds,lds_fp64_mfma.log,fp64_mfma,36,150046.875,76547.13437,1.960189316,0.436754274,
lds,lds_fp64_mul.log,fp64_mul,39,52008.42188,87457.138,0.594673266,0.053784874,
lds,lds_fp64_muladd.log,fp64_muladd,39,58103.89844,87492.08825,0.664104602,0.317593807,
lds,lds_fp64_rsqrt.log,fp64_rsqrt,36,9745.800781,86251.90233,0.1129923,0.296807431,
lds,lds_fp8_mfma.log,fp8_mfma,39,2379375.25,80067.42639,29.71714413,0.160510227,
lds,lds_int32_mul.log,int32_mul,39,57479.27344,87492.05775,0.656965614,0.358738894,
lds,lds_int32_muladd.log,int32_muladd,39,60828.375,87493.38525,0.695233986,0.534432292,
lds,lds_int8_leftshift.log,int8_leftshift,36,39564.75781,76420.38669,0.517725172,0.732591143,
lds,lds_int8_mfma.log,int8_mfma,39,2421014.5,80043.83196,30.24610942,0.135615938,
