sweep,log_basename,label,num_points,peak_compute_gflops,peak_bandwidth_gbs,roofline_pivot_ai,alpha,error
hbm,hbm_bf16_mfma.log,bf16_mfma,62,89798.39844,1281.715243,70.06111453,0.9470406203,
hbm,hbm_fp16_add.log,fp16_add,51,10973.24414,900.05133,12.19179815,0.7165035194,
hbm,hbm_fp16_mfma.log,fp16_mfma,62,179320.9375,1281.847659,139.8925498,0.946407351,
hbm,hbm_fp16_mul.log,fp16_mul,51,10943.98047,900.96875,12.14690351,0.7313917509,
hbm,hbm_fp16_muladd.log,fp16_muladd,51,10613.87598,809.092834,13.11824247,0.7755397665,
hbm,hbm_fp16_rsqrt.log,fp16_rsqrt,51,2830.303711,839.288574,3.372265272,0.7786661044,
hbm,hbm_fp32_add.log,fp32_add,51,10694.34375,1285.507692,8.319159673,0.8424870118,
hbm,hbm_fp32_mfma.log,fp32_mfma,62,44884.07422,1281.692401,35.01938077,0.9482188005,
hbm,hbm_fp32_mul.log,fp32_mul,51,10857.22461,1282.29492,8.467026142,0.8340599173,
hbm,hbm_fp32_muladd.log,fp32_muladd,51,20612.96875,1277.029174,16.14134522,0.8340667376,
hbm,hbm_fp32_rsqrt.log,fp32_rsqrt,51,2828.424316,1279.276368,2.210956433,0.800910859,
hbm,hbm_fp64_add.log,fp64_add,51,10105.67969,1339.945421,7.541859191,0.8965699022,
hbm,hbm_fp64_mfma.log,fp64_mfma,62,42314.51953,1283.694167,32.96308468,0.7973906038,
hbm,hbm_fp64_mul.log,fp64_mul,51,10298.40332,1337.121094,7.70192271,0.7284113732,
hbm,hbm_fp64_muladd.log,fp64_muladd,51,16610.89062,1333.506104,12.45655387,0.8282233682,
hbm,hbm_fp64_rsqrt.log,fp64_rsqrt,51,2696.441162,1344.165648,2.006033383,0.8593647127,
hbm,hbm_fp8_mfma.log,fp8_mfma,62,160.753632,1286.029056,0.125,0.9996656371,
hbm,hbm_int32_mul.log,int32_mul,51,10428.61621,1282.655272,8.130490272,0.8531721793,
hbm,hbm_int32_muladd.log,int32_muladd,51,17116.5332,1258.641602,13.59921138,0.6894236226,
hbm,hbm_int8_leftshift.log,int8_leftshift,51,11164.42383,749.783264,14.89020143,0.7448243589,
hbm,hbm_int8_mfma.log,int8_mfma,62,177397.2031,1281.890697,138.3871523,0.9467602308,
lds,lds_bf16_mfma.log,bf16_mfma,36,89671.45312,22260.13944,4.028341933,0.9000918167,
lds,lds_fp16_add.log,fp16_add,36,10977.77637,23775.0702,0.4617347614,0.6577481332,
lds,lds_fp16_mfma.log,fp16_mfma,36,179093.6406,22256.176,8.04691878,0.899111202,
lds,lds_fp16_mul.log,fp16_mul,36,10965.43945,23771.756,0.4612801618,0.6798035725,
lds,lds_fp16_muladd.log,fp16_muladd,36,10616.33691,22626.41554,0.4692010052,0.6848214804,
lds,lds_fp16_rsqrt.log,fp16_rsqrt,36,2830.080566,23752.8884,0.1191467967,0.6674866215,
lds,lds_fp32_add.log,fp32_add,36,10687.16211,23916.7068,0.4468492338,0.6472661432,
lds,lds_fp32_mfma.log,fp32_mfma,36,44829.04297,22260.17188,2.013867782,0.9000102297,
lds,lds_fp32_mul.log,fp32_mul,36,10884.69336,23910.1638,0.4552329064,0.6507016584,
lds,lds_fp32_muladd.log,fp32_muladd,36,20769.68945,23920.6222,0.8682754687,0.6131012675,
lds,lds_fp32_rsqrt.log,fp32_rsqrt,36,2827.912598,23885.6414,0.1183938313,0.6393630817,
lds,lds_fp64_add.log,fp64_add,36,10162.85547,25116.79833,0.4046238431,0.4552413463,
lds,lds_fp64_mfma.log,fp64_mfma,36,40237.15625,22258.63456,1.807709998,0.3661920134,
lds,lds_fp64_mul.log,fp64_mul,36,10300.78711,25094.068,0.410486937,0.4669095729,
lds,lds_fp64_muladd.log,fp64_muladd,36,16798.32422,23954.9392,0.70124679,0.5216944493,
lds,lds_fp64_rsqrt.log,fp64_rsqrt,36,2693.960449,25091.975,0.1073634279,0.3658000457,
lds,lds_fp8_mfma.log,fp8_mfma,36,75.244728,25081.576,0.003,0.9994515739,
lds,lds_int32_mul.log,int32_mul,36,10416.58008,23914.2044,0.4355812932,0.6143506924,
lds,lds_int32_muladd.log,int32_muladd,36,17127.6875,23885.7956,0.7170658155,0.5489212023,
lds,lds_int8_leftshift.log,int8_leftshift,36,11161.19727,22347.65623,0.4994348021,0.7534130381,
lds,lds_int8_mfma.log,int8_mfma,36,177142.0469,22262.48931,7.956973921,0.8958950819,
